Question,Answer URL,Answer Label,Question Rating,Answer Quality,Factual,questionId
can eating too much sugar cause diabetes,https://skeptics.stackexchange.com/questions/6284#6288,no,2.5,3,1,6284
is routine screening for breast cancer for asymptomatic women worthwhile,https://skeptics.stackexchange.com/questions/6473#6558,no,2.666666667,2.333333333,1,6473
do artificial colours in food cause hyperactivity in children,https://skeptics.stackexchange.com/questions/6485#6490,yes,1.5,2.5,1,6485
is skin cancer the leading cause of cancer death of young adult women,https://skeptics.stackexchange.com/questions/6518#6528,no,2,2,1,6518
is drinking raw milk more dangerous than drinking pasteurized milk,https://skeptics.stackexchange.com/questions/6574#6655,na,1.5,2,1,6574
is it dangerous to mix boiled and unboiled water,https://skeptics.stackexchange.com/questions/6601#11150,na,2,2,1,6601
do electric heaters with open heating elements dry the air or burn up oxygen,https://skeptics.stackexchange.com/questions/6620#6630,no,1.333333333,2.333333333,1,6620
is  of a humans sense of taste in their nose,https://skeptics.stackexchange.com/questions/6632#8464,no,2,2.666666667,1,6632
is casein from cows milk harmful to humans over one year of age,https://skeptics.stackexchange.com/questions/6664#6693,yes,1.5,2.5,1,6664
is allowing an infant to cry harmful to its development,https://skeptics.stackexchange.com/questions/6665#7685,na,2.666666667,2,1,6665
does organic butter have more omega fat than conventional butter,https://skeptics.stackexchange.com/questions/6707#6718,no,2.333333333,2,1,6707
does the color red make you hungrier,https://skeptics.stackexchange.com/questions/6738#26883 ,no,2.666666667,2.666666667,1,6738
does eating chocolate make you high,https://skeptics.stackexchange.com/questions/6765#6768,yes,2.333333333,2.666666667,1,6765
can you die from eating chili peppers,https://skeptics.stackexchange.com/questions/6810#6811,yes,2,2.333333333,1,6810
was the experiment with five monkeys a ladder a banana and a water spray conducted,https://skeptics.stackexchange.com/questions/6828#6859,no,3,2.5,1,6828
does lsd provide a creativity boost,https://skeptics.stackexchange.com/questions/6834#6904,yes,2.5,1.5,1,6834
are vitamins ingested in natural food more effective than those ingested in supplements,https://skeptics.stackexchange.com/questions/6837#6855,no,2,2,1,6837
can young children safely eat cooked mushrooms,https://skeptics.stackexchange.com/questions/6903#6914,na,1,2,1,6903
are some burgers in japan made from human excrement,https://skeptics.stackexchange.com/questions/6905#6906,na,2,1.666666667,1,6905
can chili peppers give you an ulcer,https://skeptics.stackexchange.com/questions/6919#6920,no,2,2.333333333,1,6919
should we drink water before we feel thirsty,https://skeptics.stackexchange.com/questions/6923#10197,no,2,2,1,6923
does a typical human on a western diet have undigested protein stuck in their body from years of eating certain foods,https://skeptics.stackexchange.com/questions/6970#7112,no,2.333333333,2.666666667,1,6970
does eating meat increase testosterone levels,https://skeptics.stackexchange.com/questions/6982#6989,yes,2.333333333,2.333333333,1,6982
do men tend to be funnier than women,https://skeptics.stackexchange.com/questions/6992#7869,yes,2.333333333,2.333333333,1,6992
is diet soda less healthy than regular soda,https://skeptics.stackexchange.com/questions/6996#7027,na,3,1.5,1,6996
are there any fda approved ingredients that are known to be directly harmful when taken at an approved dosage,https://skeptics.stackexchange.com/questions/7004#7026,no,2,2.333333333,1,7004
does drinking water prevent dehydration,https://skeptics.stackexchange.com/questions/7049#7050,na,1.666666667,2.333333333,1,7049
does red bull contain as much energy as  coffees,https://skeptics.stackexchange.com/questions/7087#7088,na,2.333333333,2.333333333,1,7087
are raw button mushrooms unhealthy especially carcinogenic,https://skeptics.stackexchange.com/questions/7089#7090,na,2.333333333,2.666666667,1,7089
do men show greater variance in the distribution of their iq than women,https://skeptics.stackexchange.com/questions/7093#7108,yes,2,2,1,7093
does eating greasy foods help soak up alcohol,https://skeptics.stackexchange.com/questions/7152#7163,yes,2,2,1,7152
are sperm counts in men decreasing significantly,https://skeptics.stackexchange.com/questions/7160#7201,no,2.666666667,2.333333333,1,7160
do  of self reported homosexual teens no longer self report as homosexual by their twenties,https://skeptics.stackexchange.com/questions/7165#7166,yes,2,1.333333333,1,7165
do rapists think rape is normal,https://skeptics.stackexchange.com/questions/7167#8332,no,2.666666667,3,1,7167
do oily foods have any effect on acne,https://skeptics.stackexchange.com/questions/7202#12386,na,2,2.5,1,7202
do hand sanitizers have a negative impact on the human immune system,https://skeptics.stackexchange.com/questions/7209#25138,na,2.666666667,2,1,7209
does objectifying women in advertisement cause violence against their gender,https://skeptics.stackexchange.com/questions/7223#30246,yes,2,2.666666667,1,7223
does a full bladder help maintain mental focus,https://skeptics.stackexchange.com/questions/7238#7425,na,2,2,1,7238
does honey ever go bad,https://skeptics.stackexchange.com/questions/7247#7251,no,2.666666667,2.666666667,1,7247
do raisins need to be refrigerated,https://skeptics.stackexchange.com/questions/7320#7321,na,1.5,2.5,1,7320
does catnip treat headache and coughs and insomnia,https://skeptics.stackexchange.com/questions/7367#14362,na,2,1.333333333,1,7367
do alcoholic digestives help digestion,https://skeptics.stackexchange.com/questions/7410#7420 ,na,2.5,2,1,7410
is the rorschach test a reliable diagnostic tool for psychologists,https://skeptics.stackexchange.com/questions/7424#8632,na,2,3,1,7424
is this quantum levitation video real,https://skeptics.stackexchange.com/questions/7429#7431,yes,1.666666667,2.333333333,1,7429
is it dangerous to throw a coin off a building,https://skeptics.stackexchange.com/questions/7443#7444,no,1.5,2.5,1,7443
is it better to obtain vitamins and minerals from food rather than by taking supplements,https://skeptics.stackexchange.com/questions/7445#7451,no,2.333333333,2.333333333,1,7445
does our brain make ourselves look five times more beautiful than we really are,https://skeptics.stackexchange.com/questions/7461#7492,no,2.333333333,3,1,7461
does frank ryans abdominal fat reducer pill work,https://skeptics.stackexchange.com/questions/7467#7474,yes,1.333333333,1.333333333,1,7467
is there a relationship between yellow and moods,https://skeptics.stackexchange.com/questions/7505#28084,yes,2.5,2.5,1,7505
are old glass panes thicker on the bottom due to flow,https://skeptics.stackexchange.com/questions/7533#7534,no,2.666666667,2,1,7533
are microwave hotspots real,https://skeptics.stackexchange.com/questions/7556#7774,yes,2.333333333,2.333333333,1,7556
does skimmed milk have more added chemicals than whole milk,https://skeptics.stackexchange.com/questions/7571#7572,no,1.666666667,1.666666667,1,7571
is this video from nasa proof that lenr is a real effect,https://skeptics.stackexchange.com/questions/7589#7591,no,1.666666667,2,1,7589
do mcdonalds burgers have an unnaturally long lifespan,https://skeptics.stackexchange.com/questions/7622#8295,no,3,3,1,7622
is the electromagnetic field sensitivity study reliable,https://skeptics.stackexchange.com/questions/7626#7627,na,1.333333333,2,1,7626
does reverse psychology work,https://skeptics.stackexchange.com/questions/7653#7655,yes,2.333333333,2.333333333,1,7653
are red heads more likely to be hot headed,https://skeptics.stackexchange.com/questions/7715#7721,yes,2,3,1,7715
are the  scientists who claim that climate change is not something to worry about climate scientists,https://skeptics.stackexchange.com/questions/7722#7725,yes,2,2.666666667,1,7722
does the wind direction affect the audibility of distant sounds,https://skeptics.stackexchange.com/questions/7757#7762,yes,3,2.5,1,7757
do atoms exist,https://skeptics.stackexchange.com/questions/7801#7803,yes,1.666666667,2.666666667,1,7801
are katanas made of steel folded  times,https://skeptics.stackexchange.com/questions/7878#7879,no,2.666666667,2.666666667,1,7878
is exclusive breastfeeding better than breast milkformula in developed countries,https://skeptics.stackexchange.com/questions/7902#7910,yes,2,2.333333333,1,7902
does it take  days to form a habit,https://skeptics.stackexchange.com/questions/7985#15524,no,1.333333333,2.333333333,1,7985
was sir isaac newton a homosexual,https://skeptics.stackexchange.com/questions/8017#8023,no,1.666666667,2.333333333,1,8017
does white noise improve concentration,https://skeptics.stackexchange.com/questions/8025#8066 ,yes,2,3,1,8025
are the leaked heartland institute documents legitimate,https://skeptics.stackexchange.com/questions/8054#8075,na,1.333333333,2.333333333,1,8054
do the effects of chromotherapy have support in scientific literature,https://skeptics.stackexchange.com/questions/8055#8065,no,2,2.666666667,1,8055
is sadomasochism more prevalent in england than in other countries,https://skeptics.stackexchange.com/questions/8063#8099,no,2,2.666666667,1,8063
are there an unusually large number of people with aspergers who work in or study it or computer science,https://skeptics.stackexchange.com/questions/8080#15439,na,1.666666667,2,1,8080
is bottled water more contaminated than tap water,https://skeptics.stackexchange.com/questions/8095#16460,no,2.5,1.5,1,8095
is decaffeinated coffee bad for health,https://skeptics.stackexchange.com/questions/8110#8122 ,no,2.333333333,3,1,8110
are added nitrates and nitrites in our diet harmful,https://skeptics.stackexchange.com/questions/8119#8136,yes,2,2.666666667,1,8119
is racism a natural instinct,https://skeptics.stackexchange.com/questions/8130#8163,na,2,1.666666667,1,8130
is reducing carbon emission from cars futile,https://skeptics.stackexchange.com/questions/8138#8162,no,2.5,2.5,1,8138
was the practice of eating fish during lent started by the church to spur the economy of italy,https://skeptics.stackexchange.com/questions/8179#15045,no,2.333333333,2,1,8179
are inorganic materials in mineral water harmful,https://skeptics.stackexchange.com/questions/8248#10142,yes,1.5,2.5,1,8248
is it possible to get a sunburn if youre behind a glass window,https://skeptics.stackexchange.com/questions/8250#8567,yes,1.666666667,2,1,8250
is washing fruitsvegetables with water useful,https://skeptics.stackexchange.com/questions/8306#8307,na,3,2.666666667,1,8306
does ginkgo biloba improve your memory,https://skeptics.stackexchange.com/questions/8335#8336,na,2.5,2,1,8335
are psychopaths more intelligent than people in general,https://skeptics.stackexchange.com/questions/8435#10961,no,3,3,1,8435
is red meat responsible for one in ten early deaths,https://skeptics.stackexchange.com/questions/8442#8456,no,2.333333333,1.666666667,1,8442
is it unhealthy to reuse cooking oil,https://skeptics.stackexchange.com/questions/8461#8463,yes,2,2.75,1,8461
are men  times more likely to be struck by lightning than women,https://skeptics.stackexchange.com/questions/8476#8479,yes,2,1.666666667,1,8476
would a humans blood suddenly boil or eyesbody explode in a vacuum,https://skeptics.stackexchange.com/questions/8521#8524,no,3,2.666666667,1,8521
is the united states the country with the highest obesity rate,https://skeptics.stackexchange.com/questions/8541#8542,no,2.333333333,2.666666667,1,8541
is taking capsaicin in pill form safe and does it speed up metabolism or help you lose weight,https://skeptics.stackexchange.com/questions/8564#8575,na,2,2.333333333,1,8564
are chia seeds a superfood,https://skeptics.stackexchange.com/questions/8576#8579,na,2,1.5,1,8576
can airport xray machines scramble kindle screens,https://skeptics.stackexchange.com/questions/8580#26433,no,2,3,1,8580
is there any reason to use cold water over hot water for boiling,https://skeptics.stackexchange.com/questions/8615#8616,yes,1.333333333,1.666666667,1,8615
does drinking any type of soda increase the risk of type  diabetes,https://skeptics.stackexchange.com/questions/8626#31036,yes,1.666666667,2.666666667,1,8626
can humans influence the outcome of random event generators with their mind,https://skeptics.stackexchange.com/questions/8635#8657,na,2.5,3,1,8635
is drinking tea after a meal unhealthy,https://skeptics.stackexchange.com/questions/8646#8649,no,2,1.666666667,1,8646
can alpha brain dietary supplement improve mental acuity and focus,https://skeptics.stackexchange.com/questions/8668#9689,yes,2,2,1,8668
do harmful chemicals migrate from the container into the food if you microwave the food in a plastic container,https://skeptics.stackexchange.com/questions/8671#9413,no,2,2.333333333,1,8671
can an extra internal refrigerator light increase the vitamin c content of fruit,https://skeptics.stackexchange.com/questions/8700#10032 ,no,2.5,2,1,8700
is lean finely textured beef lftb or pink slime safe to eat,https://skeptics.stackexchange.com/questions/8737#10405 ,no,2.5,2,1,8737
are indian temples placed on sites where positive energy is abundantly available,https://skeptics.stackexchange.com/questions/8750#8755,no,1.5,1.5,1,8750
did a nuclear blast devastate port chicago on july,https://skeptics.stackexchange.com/questions/8752#8754,no,2,2.666666667,1,8752
does eating trans fatty acids affect immune response,https://skeptics.stackexchange.com/questions/8768#20825,no,1.5,2,1,8768
is global warming irreversible,https://skeptics.stackexchange.com/questions/8854#8856,na,2.333333333,2,1,8854
are nebulae colored,https://skeptics.stackexchange.com/questions/8881#8882,yes,2,2,1,8881
does denver international airport display murals of conquering stormtroopers and dead children,https://skeptics.stackexchange.com/questions/8902#8911,yes,1.666666667,2.333333333,1,8902
can decompression after diving cause you to explode,https://skeptics.stackexchange.com/questions/8912#8913,yes,2.5,2.5,1,8912
does heavy alcoholism prevent atherosclerosis,https://skeptics.stackexchange.com/questions/8927#22414,no,1,2.666666667,1,8927
are ion heaters significantly more efficient then normal electric heaters,https://skeptics.stackexchange.com/questions/8929#18513,no,1.666666667,2.666666667,1,8929
does the average human eat their own body weight in food every month,https://skeptics.stackexchange.com/questions/8936#8943,no,1.5,1.5,1,8936
does briefly searing a steak on one side before flipping it over once seal in the juices,https://skeptics.stackexchange.com/questions/8961#8977,no,2.666666667,2.666666667,1,8961
does cows milk contain blood,https://skeptics.stackexchange.com/questions/8990#8991,no,2,2,1,8990
was bovine somatotropin bghbst deemed safe for humans after a day test on  rats,https://skeptics.stackexchange.com/questions/9007#25218,yes,1,2,1,9007
is eating dry milk powdered milk harmful,https://skeptics.stackexchange.com/questions/9029#9104,na,1.666666667,2.666666667,1,9029
is physical beauty correlated with health,https://skeptics.stackexchange.com/questions/9030#9039,yes,2,1.666666667,1,9030
are glaciers melting,https://skeptics.stackexchange.com/questions/9045#9070,yes,2,3,1,9045
does a prototype car that runs on water exist,https://skeptics.stackexchange.com/questions/9064#9093,yes,1,2.5,1,9064
is the claim of liberalism being a psychological disorder accurate,https://skeptics.stackexchange.com/questions/9099#9108,no,1.666666667,2.666666667,1,9099
is the united kingdom funding forced sterilization in india to combat climate change,https://skeptics.stackexchange.com/questions/9158#36381,no,2.5,3,1,9158
does forskolin help to break down fat,https://skeptics.stackexchange.com/questions/9195#15614,yes,1,1.333333333,1,9195
is the mcgurk effect real,https://skeptics.stackexchange.com/questions/9206#9231,yes,1.5,3,1,9206
is eating a banana on an empty stomach bad for you,https://skeptics.stackexchange.com/questions/9268#20817,na,2.333333333,2.666666667,1,9268
does boiling vegetables wash away important vitamins,https://skeptics.stackexchange.com/questions/9395#9396,na,2,2.666666667,1,9395
is preferred personal space affected by population density,https://skeptics.stackexchange.com/questions/9399#9406,na,1.5,1.5,1,9399
can magnets damage lcd screens,https://skeptics.stackexchange.com/questions/9432#9434,yes,2.333333333,2,1,9432
does drinking one cup of green tea boost your metabolism by,https://skeptics.stackexchange.com/questions/9463#9468,na,1.5,2,1,9463
cant spoil a young baby with attention,https://skeptics.stackexchange.com/questions/9476#19724,no,1,1.666666667,1,9476
are medias portrayals of physical perfection a contributing cause of eating disorders,https://skeptics.stackexchange.com/questions/9585#9588,no,2.666666667,1.666666667,1,9585
do side sleeping postures contribute to breast sagging,https://skeptics.stackexchange.com/questions/9621#9656,no,2.666666667,2.333333333,1,9621
does the radioactivity on hiroshimas soil affect radiometric dating,https://skeptics.stackexchange.com/questions/9663#9667,yes,2.333333333,2.333333333,1,9663
is corn oil bad for arthritis,https://skeptics.stackexchange.com/questions/9692#22424,no,1.666666667,2.666666667,1,9692
do radiometric dating labs throw out  of  specimens and are the samples blinded,https://skeptics.stackexchange.com/questions/9701#26355,no,2.333333333,3,1,9701
is eating meat drinking milk during the same meal unhealthy,https://skeptics.stackexchange.com/questions/9709#10330,na,2,2.333333333,1,9709
is adrenalin shot directly in the heart to revive people overdosing,https://skeptics.stackexchange.com/questions/9786#9793,no,1.666666667,1.666666667,1,9786
do eye movements reveal how a person is thinking,https://skeptics.stackexchange.com/questions/9792#9800,na,2,1.666666667,1,9792
is a glass of red wine a day beneficial for the heart,https://skeptics.stackexchange.com/questions/9797#9803,na,1.666666667,2.333333333,1,9797
is the ninth wave the largest,https://skeptics.stackexchange.com/questions/9805#9963,no,1.333333333,2.666666667,1,9805
does paper blunt scissors,https://skeptics.stackexchange.com/questions/9830#9837,yes,2,2.666666667,1,9830
do soy beans and corn flakes decrease libido,https://skeptics.stackexchange.com/questions/9860#9863,na,1.333333333,1,1,9860
is there any correlation between the ear to which you hold the phone and the person on the other end,https://skeptics.stackexchange.com/questions/9887#14266,na,2,1.666666667,1,9887
do you get less wet walking through a vertical rainstorm than running through it,https://skeptics.stackexchange.com/questions/9903#10551,no,2.666666667,2.333333333,1,9903
do performance incentives work for knowledge workers,https://skeptics.stackexchange.com/questions/9907#28090,na,1.666666667,1.666666667,1,9907
does a suspects psychological state after arrest correlate to guilt or innocence eg do only the guilty sleep in jail,https://skeptics.stackexchange.com/questions/10049#10053,na,2,1.666666667,1,10049
does weight watchers work,https://skeptics.stackexchange.com/questions/10050#10051,yes,2,3,1,10050
can a bomb calorimeter meaningfully measure food calories,https://skeptics.stackexchange.com/questions/10070#10120,no,1.5,2,1,10070
does the shangrila diet work according to its supposed mechanism,https://skeptics.stackexchange.com/questions/10103#16121,na,1,1.666666667,1,10103
are most of the nutrients of vegetables and fruits contained in the peel,https://skeptics.stackexchange.com/questions/10169#10205,no,2.333333333,2.666666667,1,10169
do stress balls reduce stress,https://skeptics.stackexchange.com/questions/10245#10264 ,no,2.333333333,2,1,10245
do boiled potatoes have a higher glycemic index than baked,https://skeptics.stackexchange.com/questions/10248#10260,na,2.333333333,1.666666667,1,10248
does washing vegetables remove nutrients,https://skeptics.stackexchange.com/questions/10274#10281,no,2.333333333,2.333333333,1,10274
are there pine trees on mars,https://skeptics.stackexchange.com/questions/10334#10336,no,3,1.5,1,10334
can science explain how bicycles work,https://skeptics.stackexchange.com/questions/10401#10404,yes,2,2,1,10401
does purell promote antibiotic resistance or superbugs,https://skeptics.stackexchange.com/questions/10451#10452,na,1.5,2,1,10451
do flashcards for babies improve literacy or numeracy,https://skeptics.stackexchange.com/questions/10456#28101,na,2,1.5,1,10456
does mcdonalds put antiemetics antivomit in their food,https://skeptics.stackexchange.com/questions/10494#10495,no,1.333333333,1.666666667,1,10494
does quantum teleportation transmit information,https://skeptics.stackexchange.com/questions/10540#10545,no,2.333333333,2.333333333,1,10540
does a mosquito line exist above which mosquitos do not travel,https://skeptics.stackexchange.com/questions/10555#10556,na,2.333333333,2.333333333,1,10555
does parsley improve bad breath,https://skeptics.stackexchange.com/questions/10656#17998,no,2,2.333333333,1,10656
can pumpkinsunflowerflaxsesameother seeds regulate hormones,https://skeptics.stackexchange.com/questions/10666#10669,yes,2.666666667,2.333333333,1,10666
can you get high from secondhand marijuana smoke,https://skeptics.stackexchange.com/questions/10692#10704,yes,1.666666667,3,1,10692
does frequent tuna consumption pose a health risk,https://skeptics.stackexchange.com/questions/10809#20795,no,2,2,1,10809
do tea cosies keep a pot of tea warm,https://skeptics.stackexchange.com/questions/10812#10814,yes,1.666666667,2.666666667,1,10812
does pregnancy food influence a childs future food preference,https://skeptics.stackexchange.com/questions/10845#17582,yes,2.333333333,2.333333333,1,10845
is a beer belly caused by drinking beer,https://skeptics.stackexchange.com/questions/10853#10858,no,2,2.333333333,1,10853
do omega  fatty acids reduce inflammation,https://skeptics.stackexchange.com/questions/10919#10930,na,2,2.333333333,1,10919
does sugar feed cancer,https://skeptics.stackexchange.com/questions/10935#10936,no,2.333333333,2.333333333,1,10935
is nasa working on warp drive,https://skeptics.stackexchange.com/questions/10949#10951,yes,2.333333333,2,1,10949
do commercial airliners go into flat spins if they lose electronics,https://skeptics.stackexchange.com/questions/10965#13610,no,1.666666667,3,1,10965
is nikola tesla the only scientist to successfully create ball lightning,https://skeptics.stackexchange.com/questions/10970#36296,no,1.666666667,2,1,10970
does drinking the urine of camels have medical benefits,https://skeptics.stackexchange.com/questions/10974#11012,no,1.333333333,2,1,10974
can a trained human eye catch microexpressions,https://skeptics.stackexchange.com/questions/10994#11048,yes,2.5,2.5,1,10994
have recommended calorie intakes increased significantly over the years and if so is it due to food industry lobbying,https://skeptics.stackexchange.com/questions/11024#26745,na,2.5,1,1,11024
are there male and female watermelon fruits,https://skeptics.stackexchange.com/questions/11104#23245,no,3,2.5,1,11104
do ocean waves come in sets of,https://skeptics.stackexchange.com/questions/11113#11140,no,1.5,2,1,11113
does boiling the same water twice make it dangerous to ones health,https://skeptics.stackexchange.com/questions/11118#11119,no,2,3,1,11118
is it a healthy habit to walk after having food,https://skeptics.stackexchange.com/questions/11143#11169,no,2.666666667,2.666666667,1,11143
can a man fall faster than the speed of sound,https://skeptics.stackexchange.com/questions/11162#11166,yes,2.333333333,3,1,11162
does the eneloop battery have lower selfdischarge,https://skeptics.stackexchange.com/questions/11224#12426,yes,1.666666667,2.666666667,1,11224
does bread contain traces of alcohol,https://skeptics.stackexchange.com/questions/12264#12266,yes,2.666666667,2.666666667,1,12264
does hugging a romantic partner for  seconds cause an oxytocin spike,https://skeptics.stackexchange.com/questions/12354#28039,no,2,2.666666667,1,12354
are blue eggs lower in cholesterol than other eggs,https://skeptics.stackexchange.com/questions/12378#12379,no,1.666666667,1.666666667,1,12378
can coconut oil promote weight loss by increasing metabolism,https://skeptics.stackexchange.com/questions/12442#12445,no,1.5,3,1,12442
is marijuana an effective medicine for any one of these medical conditions,https://skeptics.stackexchange.com/questions/12513#15584,yes,3,2,1,12513
do we need to brush our teeth,https://skeptics.stackexchange.com/questions/13550#14209,yes,1.333333333,2.666666667,1,13550
does modafinil make you smarter,https://skeptics.stackexchange.com/questions/13554#28837,yes,2.333333333,2.333333333,1,13554
do  of australian children think pasta comes from animals,https://skeptics.stackexchange.com/questions/13570#13572,yes,2.333333333,3,1,13570
is diet coke  water,https://skeptics.stackexchange.com/questions/13690#13693,yes,1,3,1,13690
can bcaas be beneficial for recovery and performance for weight lifters,https://skeptics.stackexchange.com/questions/13721#18761,yes,1.5,1,1,13721
does your stomach shrink if you eat less,https://skeptics.stackexchange.com/questions/13724#38803,no,2,1.666666667,1,13724
is avoiding global warming by preventing co emissions far too expensive compared to geoengineering or adapting to a warmer world,https://skeptics.stackexchange.com/questions/13789#18690,na,1.666666667,1,1,13789
is there such a thing as an aphrodisiac,https://skeptics.stackexchange.com/questions/13814#14835,na,1.5,2.5,1,13814
does chewing coffee grounds or beans give you more caffeine than drinking coffee,https://skeptics.stackexchange.com/questions/13860#13861,yes,2.666666667,3,1,13860
does the qnet amezcua bio disc work,https://skeptics.stackexchange.com/questions/13921#13923,no,1.666666667,2.333333333,1,13921
can artificial sweeteners make you gain weight,https://skeptics.stackexchange.com/questions/13993#13999,yes,2,2.333333333,1,13993
can those limited to the left side of their brains only describe the left half of ones face,https://skeptics.stackexchange.com/questions/14026#14039,na,2,1.666666667,1,14026
does working over  hours a week make you less productive,https://skeptics.stackexchange.com/questions/14028#20267,na,2.333333333,2,1,14028
did astronauts or cosmonauts have sex in space,https://skeptics.stackexchange.com/questions/14047#14133,na,2.666666667,3,1,14047
did the large hadron collider end up costing  billion dollars,https://skeptics.stackexchange.com/questions/14115#14121,yes,2,2.666666667,1,14115
is autism in children frequently due to low glutathione levels,https://skeptics.stackexchange.com/questions/14126#20822,no,1.333333333,2.333333333,1,14126
are humans incapable of digesting gluten,https://skeptics.stackexchange.com/questions/14134#14239,no,2.333333333,2,1,14134
can headbanging cause brain damage,https://skeptics.stackexchange.com/questions/14138#14139,yes,3,2.333333333,1,14138
is it possible to gain an edge in roulette through physics,https://skeptics.stackexchange.com/questions/14193#14197,yes,2.333333333,2.333333333,1,14193
does a column of marching soldiers have to break their rhythm while crossing a bridge to prevent its collapse,https://skeptics.stackexchange.com/questions/14213#14214,yes,1,3,1,14213
is sea water suitable for human consumption,https://skeptics.stackexchange.com/questions/14236#14252,no,2.666666667,2.666666667,1,14236
does your body suffer one mutation for every  cigarettes you smoke,https://skeptics.stackexchange.com/questions/14299#14303,yes,2,3,1,14299
does chess elo correlate with iq,https://skeptics.stackexchange.com/questions/14331#14332,no,2.333333333,2.333333333,1,14331
can egg shells be digested,https://skeptics.stackexchange.com/questions/14349#14350,yes,1.666666667,2.333333333,1,14349
can increased doses of morphine speed up dying,https://skeptics.stackexchange.com/questions/14466#14472,yes,1.666666667,2.333333333,1,14466
is drinking a cold drink and drinking hot soup unhealthy in any way,https://skeptics.stackexchange.com/questions/14491#14492,yes,2,2.5,1,14491
diddoes the us government keep secret papers by nikola tesla,https://skeptics.stackexchange.com/questions/14513#14523,yes,3,2,1,14513
do light boxes help seasonal affective disorder,https://skeptics.stackexchange.com/questions/14568#17581,yes,2,2.5,1,14568
are over  of school shooters on antipsychotics,https://skeptics.stackexchange.com/questions/14575#14578,na,1.5,2,1,14575
does heattech clothing generate heat,https://skeptics.stackexchange.com/questions/14581#41414,no,1.666666667,2.333333333,1,14581
is there an iphone app that can make corn kernels pop,https://skeptics.stackexchange.com/questions/14665#14669 ,no,1.333333333,2.666666667,1,14665
did lance armstrong have cancer,https://skeptics.stackexchange.com/questions/14679#14687,yes,2,2,1,14679
is there any correlation between sleeping position and personality,https://skeptics.stackexchange.com/questions/14696#28115,na,2.5,2.5,1,14696
is a lack of breakfast the  brain damaging habit,https://skeptics.stackexchange.com/questions/14745#17587,no,2,2.666666667,1,14745
can the useful lifespan of razor blades be extended by stroking them over jeans,https://skeptics.stackexchange.com/questions/14792#15142,no,2,2,1,14792
are instant noodles bad for peoples health,https://skeptics.stackexchange.com/questions/14805#14808,na,2.333333333,1,1,14805
does milk cause heart attacks and cancer,https://skeptics.stackexchange.com/questions/14903#14909  ,no,1.333333333,2.333333333,1,14903
did canadian company hyperstealth invent an invisibility cloak,https://skeptics.stackexchange.com/questions/14918#14922,no,2.333333333,2,1,14918
was time travel achieved and then hidden from the public,https://skeptics.stackexchange.com/questions/14921#14926,no,2.666666667,2.666666667,1,14921
is it not possible to swim in crude oil,https://skeptics.stackexchange.com/questions/14984#14987 ,na,1.666666667,2.333333333,1,14984
does popped popcorn have less calories than unpopped,https://skeptics.stackexchange.com/questions/15034#15068,yes,3,2.333333333,1,15034
is cooked protein less digestible than raw protein,https://skeptics.stackexchange.com/questions/15159#17134,na,1.666666667,2,1,15159
does positive thinking have any effect,https://skeptics.stackexchange.com/questions/15165#15168,yes,2,2,1,15165
do eggs have dha if yes then how much on an average,https://skeptics.stackexchange.com/questions/15166#15172 ,yes,2,2.5,1,15166
do firefighters avoid eating pork,https://skeptics.stackexchange.com/questions/15412#15420,no,1.333333333,2.333333333,1,15412
can a loudspeaker make water stream form a zigzag flow,https://skeptics.stackexchange.com/questions/15517#15519,yes,2.333333333,3,1,15517
does the number of lobes on a green pepper indicate any specific culinary traits about the individual pepper,https://skeptics.stackexchange.com/questions/15527#15553,no,1.333333333,2,1,15527
are tomatoes associated with increased risk of prostate cancer,https://skeptics.stackexchange.com/questions/15542#27048,no,2,2,1,15542
can haarp warp spacetime,https://skeptics.stackexchange.com/questions/15626#15629,na,1.333333333,1.666666667,1,15626
is cancer a trade off to enable faster evolution,https://skeptics.stackexchange.com/questions/15725#15746,na,2.333333333,1.333333333,1,15725
is there any difference between milk from rbst treated cows and nonrbst treated cows,https://skeptics.stackexchange.com/questions/15728#15729 ,na,2,1.666666667,1,15728
can you get addicted to cheese,https://skeptics.stackexchange.com/questions/15819#15821 ,na,2.333333333,2.666666667,1,15819
can the rhinoceros beetle carry x its own weight,https://skeptics.stackexchange.com/questions/15825#15856,yes,2,2.666666667,1,15825
can ct scans performed on a childs head lower his or her intelligence,https://skeptics.stackexchange.com/questions/16022#16026,na,2,2,1,16022
does japan export food that is unsafe to eat in japan,https://skeptics.stackexchange.com/questions/16087#17920 ,na,1.5,2,1,16087
is dwave systemss dwave one a quantum computer,https://skeptics.stackexchange.com/questions/16112#16146,na,2.333333333,2.666666667,1,16112
is eating fruits separatelyon an empty stomach healthier,https://skeptics.stackexchange.com/questions/16253#43309,no,2.333333333,3,1,16253
can we preserve youth wearing a magnet,https://skeptics.stackexchange.com/questions/16294#16295,no,2,2.333333333,1,16294
can eating the right foods avoid brca breast cancer,https://skeptics.stackexchange.com/questions/16309#16311,no,1.666666667,2.666666667,1,16309
is it accurate to say that  of experts agree that global warming is anthropogenic,https://skeptics.stackexchange.com/questions/16313#16424,yes,2.333333333,2.666666667,1,16313
does beef meat have twice the amount of oestrogen as soy,https://skeptics.stackexchange.com/questions/16316#16318,na,1.666666667,1.666666667,1,16316
is global temperature significantly affected by time of galactic year,https://skeptics.stackexchange.com/questions/16408#22447,no,2.666666667,3,1,16408
